country,industry,employee_count,incident_year,security_attribute,compromise_variety_1,confidentiality_state,data_type,confidence,data_disclosure,action,action_variety,action_vector,state_nonstate,asset_group,asset_variety_1,confidentiality_data_total,t_availability_duration_unit,t_discovery_unit,t_containment_unit,t_exfiltration_unit,t_compromise_unit,summary
United States,healthcare,11 to 100,2013,confidentiality,data loss,transmitted unencrypted,phi,,yes,misuse,data mishandling,lan access,nonstate,server,email,532.0,,,,,,"A Denver-area spine clinic says it has fired an employee in its billing department who improperly emailed some patients' protected information to her personal account, but it doesn't appear anyone's personal information is at risk.  Rocky Mountain Spine Clinic in Lone Tree said Wednesday that it fired the employee after the information technology department noticed she sent protected health information of 532 patients from her work email account to her personal account in June in violation of the Health Insurance Portability and Accountability Act, or HIPAA.  The clinic's privacy officer says the employee told investigators she sent the file so she could work from home.  Investigators verified she never opened the file before deleting it from her personal account."
United States,personal service,1001 to 10000,2018,confidentiality,data loss,stored,pii,high,yes,hacking,,,nonstate,server,database,,,,,,,"A data breach occurred at the International Mission Board that may have exposed personal information of current and former employees, volunteers and applicants."
United States,education,1001 to 10000,2015,integrity,fraudulent transaction,,,,,social,forgery,,nonstate,people,finance,,,,,,,Insurance fraud against School system self-insurance
United States,healthcare,101 to 1000,2015,confidentiality,data loss,stored unencrypted,phi,,yes,misuse,data mishandling,remote access,nonstate,user device,mobile phone,,,days,,None,None,Employee sends internal doc to personal email account before resignation
United States,finance and insurance,,2011,integrity,alter behavior,unknown,pii,,yes,social,pretexting,,nonstate,server,database,38000.0,,,,,,"Adetiloye, 40, pleaded guilty on February 16, 2011, to participating in a scheme to defraud financial institutions and individuals out of money. Adetiloye was living in Toronto, Canada, from before January of 2005 to May of 2010, when he was extradited to the United States. During that time, Adetiloye funded a lavish lifestyle by conducting, with others, a massive fraud scheme accomplished by executing tens of thousands of fraudulent acts against individual people, financial institutions, commercial data providers, merchants, commercial mailbox companies, and state agencies.  Adetiloye’s scheme involved tens of thousands of acts of illegal conduct throughout the United States, as well as in Canada and England. Adetiloye and his co-conspirators fraudulently obtained the personal identification information from commercial data providers, such as LexisNexis and ChoicePoint, and with that information assumed the identities of those unsuspecting people to open credit card and other bank accounts at U.S. Bank and twenty other banks across the United States. "
United States,retail trade,10001 to 25000,2017,confidentiality,data loss,processed,,high,unknown,physical,skimmer,victim grounds,nonstate,terminal,atm,,,minutes,,,minutes,ATM skimmer found at 7-Eleven on Fort Worth Drive
Japan,manufacturing,1001 to 10000,2014,availability,loss,unknown,pii,low,yes,hacking,,web application,nonstate,server,web application,23926.0,,,,,,Customer Login & PII stolen from Nintendo's member website.
United States,healthcare,,2012,confidentiality,data loss,unknown,phi,,yes,misuse,privilege abuse,physical access,nonstate,server,database,261.0,,,,,,"There was a small health data breach at Shands Jacksonville clinic recently, as Jacksonville.com reports that 261 patients’ names and Social Security numbers were photographed from May 7 to June 19 and given to another person.  The report says Daremia Nikeka Crews was charged Wednesday with “fraudulent use of personal identification information after her cell phone was linked to photos of computer screens that displayed the names.” It took an identity theft sting by State Attorney’s Office, U.S. Secret Service and Internal Revenue Service departments to find the Crews’s phone. Affected patients included those who had been treated at the Brentwood Primary Care Clinic, which is a medical care facility operated by Shands."
United States,retail trade,11 to 100,2017,integrity,fraudulent transaction,,,,,physical,skimmer,victim grounds,nonstate,terminal,gas terminal,,,hours,,,minutes,Card-skimming devices found at two Pittsfield gas stations - Lipton Energy
United States,healthcare,1001 to 10000,2016,integrity,repurpose,stored unencrypted,pii,,yes,social,spam,email link,nonstate,people,end-user,3184.0,,minutes,minutes,,minutes,"Wyoming Medical Center informs 3,200 patients of email breach - The first employee opened a phishing email and clicked on an attached link on Feb. 22. The second employee opened a phishing email three days later."
United States,government,101 to 1000,2015,confidentiality,data loss,unknown,pii,,yes,error,publishing error,carelessness,nonstate,server,database,185.0,,,,,,unauthorized PII in email
France,finance and insurance,,2016,confidentiality,data loss,stored unencrypted,pii,,yes,misuse,data mishandling,,nonstate,,,112000.0,,weeks,,,,"French police hit by security breach as data put online.  A data breach has impacted 112,000 French police officers after a file containing home addresses and telephone numbers was uploaded to Google Drive without strong protection  roughly two weeks after a police official was murdered in an Isis-inspired attack."
United States,retail trade,11 to 100,2016,confidentiality,data loss,stored,pii,,yes,misuse,privilege abuse,lan access,nonstate,server,database,68.0,,,,,,"Micheline Eppolito, 29, of Jensen Beach, is scheduled for sentencing Aug. 18. She could receive up  to 10 years or more on various charges.  She sold printouts with customer information to someone who intended to use the information to file false tax returns, according to evidence presented at trial."
United States,government,101 to 1000,2017,confidentiality,data loss,stored,pii,medium,yes,misuse,knowledge abuse,physical access,nonstate,server,database,1.0,,,,,,A former corrections officer charged with felony after leaking confidential data regarding informants arrest report.
Turkey,healthcare,,2016,confidentiality,data loss,stored,phi,,yes,hacking,,web application,nonstate,server,web application,50000000.0,,,,,,"A self-proclaimed member of the hacktivist group Anonymous has posted the extremely personal health information of scores Turkish citizens. According to a purported sample of the leaked information, that includes patients' HIV status and records of past abortions. "
Syrian Arab Republic,government,,2013,integrity,repurpose,stored unencrypted,ip,medium,yes,hacking,sqli,web application,nonstate,server,web application,,,,,,,Anonymous hacks into Syrian Customs Office and posts nonpublic information to pastebin
United States,retail trade,,2012,integrity,software installation,processed,pii,,yes,malware,unknown,direct install,nonstate,user device,pos terminal,550000.0,,months,days,,,"Multiple locations of supermarket chain were infected with malware designed to capture credit card data. Systems in 34 locations were compromised and 550,000 payment cards are at risk."
United States,healthcare,11 to 100,2012,confidentiality,data loss,stored unencrypted,phi,,yes,misuse,privilege abuse,remote access,nonstate,server,database,1.0,,months,days,None,None,Former employee of medical center still had access to patient data. Used this access to look up into on a patient and went to her place of employment to ask her out.
United States,manufacturing,101 to 1000,2015,confidentiality,data loss,transmitted,ip,high,yes,misuse,unapproved software,remote access,nonstate,media,documents,,,weeks,seconds,seconds,days,Employee stealing trade secrets
United States,"professional, scientific, and technical services",,2019,confidentiality,data loss,stored unencrypted,,medium,yes,error,misconfiguration,carelessness,nonstate,server,database,,,,days,,,"The latest victim to emerge is a Facebook advertising agency – XSocialMedia which runs marketing campaigns for medical malpractice lawsuits. As revealed by researchers, XSocialMedia exposed a large amount of records containing personal and medical information through an unsecured database. Attribution link: https://latesthackingnews.com/2019/06/19/xsocialmedia-exposed-150000-records-containing-personal-and-medical-information/"
United States,finance and insurance,1 to 10,2013,confidentiality,data loss,stored unencrypted,pii,,yes,misuse,data mishandling,physical access,nonstate,media,documents,,,,,None,None,News reporter found numerous instances of PII and financial information in title company's unsecured trash located outside of the facility.
United States,manufacturing,101 to 1000,2019,confidentiality,data loss,stored encrypted,pii,high,yes,error,misinformation,,nonstate,server,database,387604.0,,days,hours,minutes,hours,exposed database
United States,retail trade,1 to 10,2017,integrity,fraudulent transaction,processed,pii,high,yes,physical,skimmer,victim public area,nonstate,terminal,gas terminal,12.0,,hours,,,minutes,"Thieves target East Sacramento gas station, install card skimmers - Stop and Shop"
United States,information telecom,101 to 1000,2015,confidentiality,data loss,stored,pii,,yes,hacking,forced browsing,web application,nonstate,server,web application,600000.0,,hours,hours,minutes,minutes,Celebrity website exposed 600000 PII records
United Kingdom,administrative and support,11 to 100,2013,availability,interruption,,,,,error,malfunction,,nonstate,network,pbx,,hours,minutes,hours,None,None,Technical issue causes availability loss of the telephone computer system at National Air Traffic Service. Flight delays were realized at major UK airports.
United States,healthcare,101 to 1000,2012,confidentiality,data loss,stored,pii,,yes,misuse,possession abuse,lan access,nonstate,media,documents,106.0,,,,,,"A volunteer at the James A. Haley Veterans Hospital has been accused of stealing patients identities and using that information to file fake income tax refunds of about $550,000, according to federal court documents. The scheme began on Jan. 25, 2012, when Rodriguez stole about 100 patients names and Social Security numbers from the official records of the VA hospital in Tampa, court documents said.  Rodriguez gave the patients information to Mitchell, who prepared and electronically submitted fraudulent income tax returns, authorities said. Rodriguez and Mitchell then used pre-paid debit cards, loaded with the illegally obtained tax refunds, to buy merchandise and make ATM withdrawals in Tampa and north Florida, according to court records."
United States,healthcare,11 to 100,2015,confidentiality,data loss,printed,phi,high,yes,misuse,data mishandling,,nonstate,media,documents,1.0,,,,,,"Allergy Associates of Hartford, P.C. (Allergy Associates), has agreed to pay $125,000 to the Office for Civil Rights (OCR) at the U.S. Department of Health and Human Services (HHS) and to adopt a corrective action plan to settle potential violations of the Health Insurance Portability and Accountability Act (HIPAA) Privacy Rule. Allergy Associates is a health care practice that specializes in treating individuals with allergies, and is comprised of three doctors at four locations across Connecticut.  In February 2015, a patient of Allergy Associates contacted a local television station to speak about a dispute that had occurred between the patient and an Allergy Associates’ doctor. The reporter subsequently contacted the doctor for comment and the doctor impermissibly disclosed the patient’s protected health information to the reporter.  OCR’s investigation found that the doctor’s discussion with the reporter demonstrated a reckless disregard for the patient’s privacy rights and that the disclosure occurred after the doctor was instructed by Allergy Associates’ Privacy Officer to either not respond to the media or respond with “no comment.” Additionally, OCR’s investigation revealed that Allergy Associates failed to take any disciplinary action against the doctor or take any corrective action following the impermissible disclosure to the media.  “When a patient complains about a medical practice, doctors cannot respond by disclosing private patient information to the media,” said OCR Director Roger Severino. “Because egregious disclosures can lead to substantial penalties, covered entities need to pay close attention to HIPAA’s privacy rules, especially when responding to press inquiries.”  In addition to the monetary settlement, Allergy Associates will undertake a corrective action plan that includes two years of monitoring their compliance with the HIPAA Rules. The resolution agreement and corrective action plan may be found on the OCR website at http://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/allergyassociates/index.html."
United States,information telecom,101 to 1000,2019,confidentiality,data loss,stored encrypted,pii,medium,yes,malware,exploit vuln,,nonstate,server,database,6800000.0,,months,,,,unknown action used to compromise user database of victim.
United States,government,11 to 100,2007,confidentiality,data loss,stored unencrypted,org,medium,yes,physical,snooping,victim public area,nonstate,media,documents,1.0,,,,,,Lawyer copied page from a county judges desk calendar on receptionist's desk without permission. Was looking for a meeting related to an active case.
Peru,personal service,,2013,availability,interruption,,,,,hacking,dos,web application,nonstate,server,web application,,,,,,,"Anonymous Peru attacks Peruvian Association of Authors and Composers (APDAYC). They launched a distributed denial-of-service (DDOS) attack against the organizations website. The site, APDAYC.org.pe, was down for over three hours due to the attack launched by the hackers"
United States,"professional, scientific, and technical services",11 to 100,2012,integrity,software installation,stored unencrypted,ip,medium,yes,misuse,privilege abuse,lan access,nonstate,server,,,,days,,minutes,None,Lawyer installed Dropbox on corporate devices and accessed files after moving to another firm.
United States,information telecom,11 to 100,2019,confidentiality,data loss,stored unencrypted,pii,high,yes,error,publishing error,carelessness,nonstate,server,database,198000000.0,,hours,hours,minutes,minutes,ES database left exposed to internet with PII and financial information of potential car buyers
Mexico,information telecom,1001 to 10000,2019,availability,loss,stored unencrypted,pii,high,yes,hacking,,,nonstate,server,database,2100000.0,,hours,hours,minutes,minutes,Breach 2 for github ID.  Database deleted and randsomed
United States,finance and insurance,10001 to 25000,2013,confidentiality,data loss,stored unencrypted,pii,,potentially,physical,tampering,victim public area,nonstate,terminal,atm,,,,,,,ATM Skimming
Canada,information telecom,1 to 10,2012,confidentiality,data loss,stored unencrypted,pii,,yes,hacking,abuse of functionality,web application,nonstate,server,database,3178.0,,,,,,Gaming website compromised via undisclosed method. User information in the form of usernames and passwords posted to pastebin.com
United States,entertainment,101 to 1000,2016,availability,loss,unknown,phi,,potentially,physical,theft,public vehicle,nonstate,user device,laptop,,,,,,,laptop stolen from car with PHI
Belgium,personal service,1001 to 10000,2012,integrity,alter behavior,stored unencrypted,ip,high,potentially,misuse,privilege abuse,,nonstate,server,,,,,,,,NATO IT Administrator copies sensitive information about computer security and hides it in his basement with plans to sell to a foreign power.
United States,healthcare,,2010,integrity,modify data,unknown,pii,,yes,hacking,use of stolen creds,physical access,nonstate,server,,1.0,,,,,,"The tech, Rachael Rapraeger, pleaded guilty earlier this month to 10 misdemeanor charges of reckless conduct and one felony charge of computer forgery. She was sentenced to serve up to six months in a detention center, to serve 10 years on probation during which she can't work in the health care field and to pay a $12,500 fine.  The reasons she gave were vague. She told police she had personal issues that caused her to stop caring about her job, that she had fallen behind processing the piles of mammogram films that stacked up. So she went into the hospital's computer system, assumed the identities of physicians, and gave each patient a clear reading, an investigative report says. That allowed her to avoid the time-consuming paperwork required before the films are brought to a reading room for radiologists to examine, her lawyer Floyd Buford told the AP.  Her actions were uncovered in April 2010 after a patient who'd received a negative report had another mammogram three months later at another hospital that revealed she had breast cancer. As hospital staff began to investigate, it was determined that the doctor whose name was on the faulty report had not been at the hospital the day the report was filed. Rapraeger quickly confessed to her supervisor that she was responsible and was fired from her job about a week later, according to an investigator's report."
United Arab Emirates,information telecom,,2012,confidentiality,data loss,stored unencrypted,pii,,yes,hacking,,web application,nonstate,server,database,250.0,,,,,,Hackers break into website and post non-public information
